yearID,lgID,teamID,divID,Rank,G,W,L,DivWin,WCWin,LgWin,WSWin,R,PA,AB,H,2B,3B,HR,TB,BB,SO,SB,CS,SB%,HBP,SF,AVG,OBP,SLG,OPS,RA,ER,ERA,CG,SHO,SV,HA,HRA,BBA,SOA,DP,franchName
2010,NL,PIT,C,6,162,57,105,N,N,N,N,587,5915,5386,1303,276,27,126,2011,463,1207,87,36,0.707317073,33,33,0.241923505,0.304142012,0.373375418,0.67751743,866,784,5,1,6,31,1567,167,538,1026,120,Pittsburgh Pirates
2010,NL,SDP,W,2,162,90,72,N,N,N,N,665,6068,5434,1338,236,24,132,2018,538,1183,124,50,0.712643678,50,46,0.246227457,0.317402769,0.371365477,0.688768245,581,549,3.39,2,20,49,1305,139,517,1295,141,San Diego Padres
2010,AL,SEA,W,4,162,61,101,N,N,N,N,513,5947,5409,1274,227,16,101,1836,459,1184,142,39,0.784530387,39,40,0.23553337,0.297965361,0.339434276,0.637399637,698,628,3.93,11,10,38,1402,157,452,973,145,Seattle Mariners
2010,NL,SFG,W,1,162,92,70,Y,N,Y,Y,697,6066,5488,1411,284,30,162,2241,487,1099,55,32,0.632183908,50,41,0.257106414,0.321134191,0.408345481,0.729479672,583,546,3.36,6,17,57,1279,134,578,1331,110,San Francisco Giants
2010,NL,STL,C,2,162,86,76,N,N,N,N,736,6173,5542,1456,285,18,150,2227,541,1027,79,41,0.658333333,50,40,0.262721039,0.331605378,0.401840491,0.733445869,641,577,3.57,7,16,32,1412,133,477,1094,172,St. Louis Cardinals
2010,AL,TBR,E,1,162,96,66,Y,N,N,N,802,6225,5439,1343,295,37,160,2192,672,1292,172,47,0.785388128,57,57,0.24692039,0.332851406,0.40301526,0.735866666,649,611,3.78,6,12,51,1347,175,478,1189,134,Tampa Bay Rays
2010,AL,TEX,W,1,162,90,72,Y,N,Y,N,787,6245,5635,1556,268,25,162,2360,511,986,123,48,0.719298246,45,54,0.276131322,0.338190552,0.418811003,0.757001555,687,636,3.93,7,8,46,1355,162,551,1181,133,Texas Rangers
2010,AL,TOR,E,4,162,85,77,N,N,N,N,755,6055,5495,1364,319,21,257,2496,471,1164,58,20,0.743589744,55,34,0.24822566,0.312138728,0.454231119,0.766369848,728,676,4.22,5,11,45,1407,150,539,1184,172,Toronto Blue Jays
2010,NL,WAS,E,5,162,69,93,N,N,N,N,655,6028,5418,1355,250,31,149,2114,503,1220,110,41,0.728476821,60,47,0.250092285,0.318181818,0.390180879,0.708362697,742,658,4.13,2,5,37,1469,151,512,1068,148,Washington Nationals
2011,NL,ARI,W,1,162,94,68,Y,N,N,N,731,6046,5421,1357,293,37,172,2240,531,1249,133,55,0.707446809,61,33,0.250322819,0.322361892,0.413207895,0.735569787,662,609,3.8,5,12,58,1414,159,442,1058,131,Arizona Diamondbacks
2011,NL,ATL,E,2,162,89,73,N,N,N,N,641,6090,5528,1345,244,16,173,2140,504,1260,77,44,0.636363636,28,30,0.243306802,0.308210181,0.387120116,0.695330296,605,572,3.48,3,16,52,1332,125,521,1332,131,Atlanta Braves
2011,AL,BAL,E,5,162,69,93,N,N,N,N,708,6132,5585,1434,273,13,191,2306,452,1120,81,25,0.764150943,52,43,0.256759176,0.316046967,0.412891674,0.728938641,860,786,4.89,3,7,32,1568,210,535,1044,159,Baltimore Orioles
2011,AL,BOS,E,3,162,90,72,N,N,N,N,875,6388,5710,1600,352,35,203,2631,578,1108,102,42,0.708333333,50,50,0.280210158,0.348778961,0.460770578,0.809549538,737,680,4.2,2,13,36,1366,156,540,1213,120,Boston Red Sox
2011,AL,CHW,C,3,162,79,83,N,N,N,N,654,6107,5502,1387,252,16,154,2133,475,989,81,53,0.604477612,84,46,0.252090149,0.318650729,0.387677208,0.706327937,706,665,4.1,6,14,42,1463,147,439,1220,129,Chicago White Sox
