yearID,lgID,teamID,Rank,W,L,WSWin,R,H,2B,3B,HR,TB,BB,SO,SB,CS,SB%,HBP,SF,AVG,OBP,SLG,OPS,RA,ERA,CG,SHO,SV,HA,HRA,BBA,SOA,franchName
2010,NL,WAS,5,69,93,N,655,1355,250,31,149,2114,503,1220,110,41,0.728476821,60,47,0.250092285,0.318181818,0.390180879,0.708362697,742,4.13,2,5,37,1469,151,512,1068,Washington Nationals
2011,NL,ARI,1,94,68,N,731,1357,293,37,172,2240,531,1249,133,55,0.707446809,61,33,0.250322819,0.322361892,0.413207895,0.735569787,662,3.8,5,12,58,1414,159,442,1058,Arizona Diamondbacks
2011,NL,ATL,2,89,73,N,641,1345,244,16,173,2140,504,1260,77,44,0.636363636,28,30,0.243306802,0.308210181,0.387120116,0.695330296,605,3.48,3,16,52,1332,125,521,1332,Atlanta Braves
2011,AL,BAL,5,69,93,N,708,1434,273,13,191,2306,452,1120,81,25,0.764150943,52,43,0.256759176,0.316046967,0.412891674,0.728938641,860,4.89,3,7,32,1568,210,535,1044,Baltimore Orioles
2011,AL,BOS,3,90,72,N,875,1600,352,35,203,2631,578,1108,102,42,0.708333333,50,50,0.280210158,0.348778961,0.460770578,0.809549538,737,4.2,2,13,36,1366,156,540,1213,Boston Red Sox
2011,AL,CHW,3,79,83,N,654,1387,252,16,154,2133,475,989,81,53,0.604477612,84,46,0.252090149,0.318650729,0.387677208,0.706327937,706,4.1,6,14,42,1463,147,439,1220,Chicago White Sox
2011,NL,CHC,5,71,91,N,654,1423,285,36,148,2224,425,1202,69,23,0.75,59,35,0.256442602,0.314271589,0.400792936,0.715064524,756,4.33,4,5,40,1439,162,580,1224,Chicago Cubs
2011,NL,CIN,3,79,83,N,735,1438,264,19,183,2289,535,1250,97,50,0.659863946,63,40,0.256236636,0.32576,0.40787598,0.73363598,720,4.16,4,5,39,1414,185,539,1112,Cincinnati Reds
2011,AL,CLE,2,80,82,N,704,1380,290,26,154,2184,494,1269,89,42,0.679389313,65,43,0.250499183,0.317296678,0.396442186,0.713738864,760,4.23,2,4,38,1482,153,463,1024,Cleveland Indians
2011,NL,COL,4,73,89,N,735,1429,274,40,163,2272,555,1201,118,42,0.7375,57,44,0.257756133,0.329193548,0.40981241,0.739005958,774,4.43,5,7,41,1471,176,522,1118,Colorado Rockies
2011,AL,DET,1,95,67,N,787,1540,297,34,169,2412,521,1143,49,20,0.710144928,39,58,0.276829049,0.339750849,0.433579004,0.773329854,711,4.04,4,14,52,1406,149,492,1115,Detroit Tigers
2011,NL,MIA,5,72,90,N,625,1358,274,30,149,2139,542,1244,95,41,0.698529412,51,42,0.246550472,0.317597265,0.388344227,0.705941492,702,3.95,7,11,40,1403,149,500,1218,Miami Marlins
2011,NL,HOU,6,56,106,N,615,1442,309,28,95,2092,401,1164,118,33,0.781456954,46,37,0.257591997,0.310588622,0.373704895,0.684293517,796,4.51,2,6,25,1477,188,560,1191,Houston Astros
2011,AL,KCR,4,71,91,N,730,1560,325,41,129,2354,442,1006,153,58,0.725118483,39,57,0.275035261,0.328663446,0.415021157,0.743684603,762,4.44,2,6,37,1487,163,557,1080,Kansas City Royals
2011,AL,LAA,2,86,76,N,667,1394,289,34,155,2216,442,1086,135,52,0.721925134,51,32,0.252856884,0.312520702,0.401959006,0.714479708,633,3.57,12,11,39,1388,142,476,1058,Los Angeles Angels
2011,NL,LAD,3,82,79,N,644,1395,237,28,117,2039,498,1087,126,40,0.759036145,45,43,0.256622517,0.321819993,0.375091979,0.696911973,612,3.54,7,17,40,1287,132,507,1265,Los Angeles Dodgers
2011,NL,MIL,1,96,66,N,721,1422,276,31,185,2315,481,1083,94,31,0.752,56,44,0.261061135,0.324983411,0.42500459,0.749988,638,3.63,1,13,47,1348,147,440,1257,Milwaukee Brewers
2011,AL,MIN,5,63,99,N,619,1357,259,25,103,1975,440,1048,92,39,0.702290076,37,25,0.247311828,0.306228085,0.35994168,0.666169765,804,4.58,7,8,32,1564,161,480,940,Minnesota Twins
2011,AL,NYY,1,97,65,N,867,1452,267,33,222,2451,627,1138,147,46,0.761658031,74,51,0.263138818,0.34338118,0.444182675,0.787563855,657,3.73,5,8,47,1423,152,507,1222,New York Yankees
2011,NL,NYM,4,77,85,N,718,1477,309,39,108,2188,571,1085,130,35,0.787878788,51,48,0.26375,0.33476874,0.390714286,0.725483026,742,4.19,6,9,43,1482,147,514,1126,New York Mets
2011,AL,OAK,3,74,88,N,645,1330,280,29,114,2010,509,1094,117,43,0.73125,50,57,0.243947175,0.311305208,0.368672047,0.679977255,679,3.71,6,12,39,1380,136,519,1160,Oakland Athletics
2011,NL,PHI,1,102,60,N,713,1409,258,38,153,2202,539,1024,96,24,0.8,56,38,0.252554221,0.322601417,0.39469439,0.717295806,529,3.02,18,21,47,1320,120,404,1299,Philadelphia Phillies
2011,NL,PIT,4,72,90,N,610,1325,277,35,107,1993,489,1308,108,52,0.675,34,44,0.244419849,0.308617234,0.367644346,0.676261581,712,4.04,5,11,43,1513,152,535,1031,Pittsburgh Pirates
2011,NL,SDP,5,71,91,N,593,1284,247,42,91,1888,501,1320,170,44,0.794392523,48,47,0.237031567,0.304839514,0.348532398,0.653371912,611,3.42,0,10,44,1324,125,521,1139,San Diego Padres
2011,AL,SEA,4,67,95,N,556,1263,253,22,109,1887,435,1280,125,40,0.757575758,37,41,0.232982844,0.292382878,0.348090758,0.640473636,675,3.9,12,10,39,1369,145,436,1088,Seattle Mariners
2011,NL,SFG,2,86,76,N,570,1327,282,24,121,2020,448,1122,85,51,0.625,52,43,0.241888443,0.303035329,0.368209989,0.671245318,578,3.2,3,12,52,1260,96,559,1316,San Francisco Giants
2011,NL,STL,2,90,72,Y,762,1513,308,22,162,2351,542,978,57,39,0.59375,44,40,0.273499638,0.340857421,0.424981923,0.765839345,692,3.74,7,9,47,1461,136,448,1098,St. Louis Cardinals
2011,AL,TBR,2,91,71,N,707,1324,273,37,172,2187,571,1193,155,62,0.714285714,73,35,0.243561442,0.321831562,0.402317881,0.724149443,614,3.58,15,13,32,1263,161,504,1143,Tampa Bay Rays
2011,AL,TEX,1,96,66,N,855,1599,310,32,210,2603,475,930,143,45,0.760638298,39,49,0.282558756,0.339601414,0.459975261,0.799576675,677,3.79,10,19,38,1327,170,461,1179,Texas Rangers
2011,AL,TOR,4,81,81,N,743,1384,285,34,186,2295,525,1184,131,52,0.715846995,48,47,0.248965641,0.316717916,0.412844037,0.729561952,761,4.32,7,10,33,1433,179,540,1169,Toronto Blue Jays
2011,NL,WAS,3,80,81,N,624,1319,257,22,154,2082,470,1323,106,38,0.736111111,65,32,0.242418673,0.308588549,0.382650248,0.691238797,643,3.58,3,10,49,1403,129,477,1049,Washington Nationals
2012,NL,ARI,3,81,81,N,734,1416,307,33,165,2284,539,1266,93,51,0.645833333,41,45,0.259245698,0.327911943,0.418161845,0.746073789,688,3.93,4,9,39,1432,155,417,1200,Arizona Diamondbacks
2012,NL,ATL,2,94,68,N,700,1341,263,30,149,2111,567,1289,101,32,0.759398496,34,46,0.24718894,0.319828722,0.389124424,0.708953146,600,3.42,5,16,47,1310,145,464,1232,Atlanta Braves
2012,AL,BAL,2,93,69,N,712,1375,270,16,214,2319,480,1315,58,29,0.666666667,50,30,0.247302158,0.31127451,0.417086331,0.728360841,705,3.9,1,10,55,1433,184,481,1177,Baltimore Orioles
2012,AL,BOS,5,69,93,N,734,1459,339,16,165,2325,428,1197,97,31,0.7578125,45,55,0.26034975,0.315068493,0.414882227,0.72995072,806,4.7,6,4,35,1449,190,529,1176,Boston Red Sox
2012,AL,CHW,2,85,77,N,748,1409,228,29,211,2328,461,1203,109,43,0.717105263,65,36,0.25534614,0.318256579,0.42189199,0.740148569,676,4.02,6,11,37,1365,186,503,1246,Chicago White Sox
2012,NL,CHC,5,61,101,N,613,1297,265,36,137,2045,447,1235,94,45,0.676258993,43,24,0.239696914,0.301603376,0.377933838,0.679537214,759,4.51,1,9,28,1399,175,573,1128,Chicago Cubs
